%19-Mar-2019 15:41:33
%Comment: Enter a comment
%--------------------------------------------- 
%                   Setup 
%--------------------------------------------- 
%Number of measurements stored in this file: 1
%Center Frequency: 1.5GHz
%Center Frequency: 1.5GHz
%Number of Averages: 4 
%Start Pos: 0 degrees
%Stop Pos: 0 degrees
%Polarizations in order: VVHH 
%Columns of real and imaginary data. Col 1 = real, col 2 = imaginary. If more than 2 columns, odd columns are real and even columns are imaginary. 
%Az: 0 ================== 
0.0000001 -0.0000002 0.0000002 0.0000001 
0.0000001 -0.0000001 0.0000001 0.0000002 
0.0000002 -0.0000001 -0.0000000 0.0000002 
0.0000003 0.0000000 -0.0000001 0.0000001 
0.0000002 0.0000002 -0.0000001 0.0000001 
0.0000001 0.0000003 -0.0000002 0.0000001 
-0.0000000 0.0000003 -0.0000003 -0.0000001 
-0.0000002 0.0000002 -0.0000002 -0.0000002 
-0.0000003 0.0000002 -0.0000000 -0.0000003 
-0.0000003 0.0000000 0.0000001 -0.0000002 
-0.0000003 -0.0000002 0.0000001 -0.0000001 
-0.0000001 -0.0000003 0.0000001 -0.0000000 
0.0000001 -0.0000003 0.0000002 0.0000000 
0.0000002 -0.0000002 0.0000002 0.0000001 
0.0000001 -0.0000001 0.0000001 0.0000002 
0.0000002 -0.0000001 0.0000000 0.0000002 
0.0000003 -0.0000000 -0.0000000 0.0000001 
0.0000003 0.0000002 -0.0000001 0.0000001 
0.0000001 0.0000003 -0.0000002 0.0000001 
-0.0000001 0.0000003 -0.0000003 0.0000000 
-0.0000002 0.0000002 -0.0000002 -0.0000002 
-0.0000002 0.0000000 -0.0000001 -0.0000003 
-0.0000002 -0.0000001 0.0000001 -0.0000002 
-0.0000001 -0.0000001 0.0000002 -0.0000001 
-0.0000001 -0.0000001 0.0000002 -0.0000000 
-0.0000001 -0.0000001 0.0000002 0.0000000 
-0.0000001 -0.0000001 0.0000002 0.0000001 
-0.0000001 -0.0000003 0.0000001 0.0000001 
0.0000001 -0.0000004 -0.0000000 0.0000001 
0.0000004 -0.0000002 -0.0000000 0.0000001 
0.0000005 0.0000001 0.0000000 0.0000001 
0.0000003 0.0000004 -0.0000001 0.0000002 
-0.0000000 0.0000005 -0.0000002 0.0000002 
-0.0000002 0.0000003 -0.0000003 -0.0000000 
-0.0000003 0.0000002 -0.0000002 -0.0000003 
-0.0000003 0.0000000 -0.0000000 -0.0000003 
-0.0000003 -0.0000001 0.0000001 -0.0000002 
-0.0000002 -0.0000002 0.0000002 -0.0000001 
-0.0000001 -0.0000003 0.0000002 -0.0000001 
0.0000000 -0.0000002 0.0000002 -0.0000000 
0.0000001 -0.0000002 0.0000003 0.0000001 
0.0000002 -0.0000003 0.0000002 0.0000002 
0.0000004 -0.0000002 0.0000000 0.0000003 
0.0000005 0.0000001 -0.0000001 0.0000002 
0.0000003 0.0000004 -0.0000002 0.0000002 
0.0000000 0.0000005 -0.0000003 0.0000001 
-0.0000002 0.0000004 -0.0000003 -0.0000001 
-0.0000003 0.0000002 -0.0000002 -0.0000002 
-0.0000003 0.0000001 -0.0000001 -0.0000003 
-0.0000004 -0.0000000 0.0000001 -0.0000003 
-0.0000003 -0.0000002 0.0000002 -0.0000002 
-0.0000001 -0.0000004 0.0000002 -0.0000001 
0.0000001 -0.0000004 0.0000003 -0.0000000 
0.0000002 -0.0000002 0.0000003 0.0000001 
0.0000002 -0.0000001 0.0000002 0.0000003 
0.0000003 -0.0000001 0.0000000 0.0000003 
0.0000004 0.0000001 -0.0000001 0.0000003 
0.0000003 0.0000003 -0.0000002 0.0000002 
0.0000001 0.0000004 -0.0000003 0.0000001 
-0.0000001 0.0000003 -0.0000003 -0.0000000 
-0.0000002 0.0000002 -0.0000003 -0.0000002 
-0.0000003 0.0000001 -0.0000001 -0.0000003 
-0.0000003 0.0000000 0.0000001 -0.0000003 
-0.0000003 -0.0000001 0.0000002 -0.0000002 
-0.0000002 -0.0000003 0.0000002 -0.0000001 
0.0000000 -0.0000004 0.0000002 -0.0000000 
0.0000002 -0.0000002 0.0000003 0.0000001 
0.0000002 -0.0000002 0.0000002 0.0000002 
0.0000002 -0.0000002 0.0000001 0.0000003 
0.0000004 -0.0000001 -0.0000001 0.0000003 
0.0000004 0.0000002 -0.0000001 0.0000002 
0.0000002 0.0000004 -0.0000002 0.0000002 
-0.0000000 0.0000004 -0.0000003 0.0000001 
-0.0000002 0.0000003 -0.0000003 -0.0000001 
-0.0000003 0.0000002 -0.0000002 -0.0000003 
-0.0000003 0.0000001 0.0000000 -0.0000003 
-0.0000004 -0.0000001 0.0000002 -0.0000003 
-0.0000003 -0.0000003 0.0000002 -0.0000002 
-0.0000001 -0.0000004 0.0000003 -0.0000001 
0.0000002 -0.0000004 0.0000003 0.0000000 
0.0000002 -0.0000002 0.0000003 0.0000002 
0.0000002 -0.0000002 0.0000001 0.0000004 
0.0000004 -0.0000001 -0.0000001 0.0000003 
0.0000004 0.0000001 -0.0000002 0.0000002 
0.0000003 0.0000004 -0.0000002 0.0000002 
0.0000000 0.0000005 -0.0000003 0.0000001 
-0.0000002 0.0000003 -0.0000004 -0.0000001 
-0.0000003 0.0000002 -0.0000003 -0.0000003 
-0.0000003 0.0000001 -0.0000001 -0.0000004 
-0.0000004 0.0000000 0.0000001 -0.0000003 
-0.0000004 -0.0000002 0.0000002 -0.0000002 
-0.0000002 -0.0000005 0.0000003 -0.0000001 
0.0000001 -0.0000005 0.0000003 -0.0000000 
0.0000002 -0.0000003 0.0000003 0.0000001 
0.0000003 -0.0000002 0.0000002 0.0000003 
0.0000004 -0.0000001 0.0000000 0.0000004 
0.0000005 0.0000001 -0.0000002 0.0000003 
0.0000004 0.0000004 -0.0000002 0.0000002 
0.0000001 0.0000005 -0.0000003 0.0000001 
-0.0000002 0.0000004 -0.0000004 -0.0000000 
-0.0000003 0.0000002 -0.0000004 -0.0000003 
-0.0000003 0.0000001 -0.0000001 -0.0000005 
-0.0000003 0.0000001 0.0000002 -0.0000004 
-0.0000004 -0.0000001 0.0000003 -0.0000002 
-0.0000003 -0.0000003 0.0000003 -0.0000000 
-0.0000001 -0.0000003 0.0000002 0.0000000 
0.0000000 -0.0000003 0.0000003 0.0000001 
0.0000000 -0.0000003 0.0000003 0.0000002 
0.0000003 -0.0000005 0.0000002 0.0000003 
0.0000007 -0.0000003 -0.0000000 0.0000004 
0.0000008 0.0000002 -0.0000002 0.0000004 
